ChallengeId,ribbons,name,pace1,meters,spm,pace2,pace3,gain1,all1,pace4,gain2,all1
32,None,DaveS,1:57.6,39:11.8,24,1.5,4,3,7,18,11,29,None
32,None,toddler,1:57.8,39:15.7,21,-2.2,3,1,4,22,11,33,None
32,None,Arlene,2:10.0,43:19.7,24,2.3,2,5,7,8,9,17,None
32,None,Kay,2:16.1,45:22.1,25,6.8,1,9,10,4,12,16,None
33,/challenge/2011/08/,"5  1000 m, 3' rest, @ 24 spm",2011,8,D,5000
33,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
33,None,Si,1:38.7,16:26.6,24,None,16,None,16,34,None,34,None
33,None,Rocky,1:40.9,16:49.3,24,5.1,15,1,16,55,13,68,None
33,None,Stu,1:42.7,17:06.8,24,6.2,14,5,19,50,18,68,None
33,None,DaveC,1:43.5,17:15.2,24,5.6,13,2,15,47,13,60,None
33,None,stupe,1:45.4,17:33.9,24,5.8,12,3,15,42,15,57,None
33,None,GregC,1:45.6,17:35.6,24,9.8,11,9,20,32,9,41,None
33,None,toddler,1:46.9,17:49.0,24,10.9,10,10,20,32,21,53,None
33,None,Rocket,1:47.2,17:52.3,24,8.7,9,7,16,27,23,50,None
33,None,JohnVB,1:47.2,17:52.4,24,None,8,None,8,8,None,8,None
33,None,AndyB,1:47.8,17:57.7,24,5.9,7,4,11,30,19,49,None
33,None,NavHaz,1:48.9,18:08.5,16,None,6,None,6,12,1,13,None
33,None,DaveS,1:50.9,18:28.6,22,6.7,5,6,11,23,17,40,None
33,None,Adrian,1:52.3,18:43.2,23,None,4,None,4,14,2,16,None
33,None,Arlene,2:00.3,20:02.5,24,9.7,3,8,11,11,17,28,None
33,None,jvb,2:00.7,20:07.0,24,None,2,None,2,2,None,2,None
33,None,Kay,2:09.4,21:33.7,24,6.7,1,6,7,5,18,23,None
34,/challenge/2011/09/,"4k, 2k, 1k, 500 m  with 2' rest",2011,9,D,7500
34,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
34,None,Rocky,1:42.9,25:43.5,28,-2.0,10,7,17,65,20,85,None
34,None,Stu,1:44.8,26:12.0,30,-2.1,9,6,15,59,24,83,None
34,None,DaveC,1:44.9,26:13.6,26,-1.4,8,8,16,55,21,76,None
34,None,GregC,1:46.5,26:38.0,29,-0.9,7,9,16,39,18,57,None
34,None,NavHaz,1:48.6,27:08.8,18,0.3,6,10,16,18,11,29,None
34,None,AndyB,1:50.1,27:31.5,27,-2.3,5,5,10,35,24,59,None
34,None,toddler,1:50.6,27:38.6,25,-3.7,4,2,6,36,23,59,None
34,None,DaveS,1:55.2,28:48.4,23,-4.3,3,1,4,26,18,44,None
34,None,Arlene,2:03.7,30:56.1,26,-3.4,2,3,5,13,20,33,None
34,None,Kay,2:12.2,33:03.1,26,-2.8,1,4,5,6,22,28,None
35,/challenge/2011/10/,"250, 500, 750, 1k,  750, 500, 250 (1' rest)",2011,10,D,4000
35,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
35,None,Rocky,1:37.7,13:01.8,28,5.2,13,3,16,78,23,101,None
35,None,Stu,1:38.5,13:08.0,34,6.3,12,5,17,71,29,100,None
35,None,DaveC,1:39.1,13:12.6,28,5.8,11,4,15,66,25,91,None
35,None,NavHaz,1:41.6,13:32.9,18,7.0,10,8,18,28,19,47,None
35,None,GregC,1:42.1,13:37.0,30,4.4,9,2,11,48,20,68,None
35,None,toddler,1:42.8,13:42.1,29,7.8,8,9,17,44,32,76,None
35,None,DaveS,1:43.4,13:47.4,30,11.8,7,10,17,33,28,61,None
35,None,AndyB,1:43.6,13:48.6,31,6.5,6,6,12,41,30,71,None
35,None,stupe,1:48.8,14:30.1,27,None,5,None,5,47,15,62,None
35,None,Hannah,1:49.3,14:34.6,30,None,4,None,4,16,9,25,None
35,None,Adrian,1:53.5,15:07.7,25,None,3,None,3,17,2,19,None
35,None,Arlene,2:00.0,16:00.1,28,3.7,2,1,3,15,21,36,None
35,None,Kay,2:05.4,16:43.0,29,6.8,1,7,8,7,29,36,None
36,/challenge/2011/11/,"20 minutes",2011,11,T,1200
36,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
36,None,Rocky,1:43.6,5793,27,-5.9,14,7,21,92,30,122,None
36,None,Danny,1:43.7,5786,26,None,13,None,13,13,None,13,None
36,None,GregC,1:46.6,5628,26,-4.5,12,8,20,60,28,88,None
36,None,DaveC,1:47.2,5599,29,-8.1,11,3,14,77,28,105,None
36,None,Si,1:48.5,5530,19,None,10,None,10,44,None,44,None
36,None,DaveS,1:51.6,5378,26,-8.2,9,2,11,42,30,72,None
36,None,AndyB,1:51.8,5367,25,-8.2,8,2,10,49,32,81,None
36,None,toddler,1:52.2,5346,22,-9.4,7,1,8,51,33,84,None
36,None,Rocket,1:55.0,5217,26,None,6,None,6,33,23,56,None
36,None,Adrian,1:55.5,5197,26,-2.0,5,9,14,22,11,33,None
36,None,stupe,1:55.9,5177,22,-7.1,4,5,9,51,20,71,None
36,None,Hannah,1:57.1,5125,24,-7.8,3,4,7,19,13,32,None
36,None,Arlene,2:01.6,4935,27,-1.6,2,10,12,17,31,48,None
36,None,Kay,2:12.2,4540,25,-6.8,1,6,7,8,35,43,None
37,/challenge/2011/12/,"1k, 2k, 3k, 2k, 1k  (2' rest)",2011,12,D,9000
37,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
37,None,Si,1:39.3,29:46.8,29,9.2,12,8,20,56,8,64,None
37,None,Rocky,1:43.1,30:55.4,27,0.5,11,5,16,103,35,138,None
37,None,GregC,1:45.7,31:42.2,28,0.9,10,7,17,70,35,105,None
37,None,DaveC,1:48.4,32:31.7,29,-1.2,9,4,13,86,32,118,None
37,None,AndyB,1:51.2,33:21.6,24,0.6,8,6,14,57,38,95,None
37,None,toddler,1:51.6,33:28.6,23,0.6,7,6,13,58,39,97,None
37,None,Stu,1:52.2,33:39.3,20,None,6,None,6,77,29,106,None
37,None,DaveS,1:53.2,33:57.5,26,-1.6,5,2,7,47,32,79,None
37,None,stupe,1:55.3,34:35.7,24,0.6,4,6,10,55,26,81,None
37,None,Adrian,1:57.4,35:13.3,25,-1.9,3,1,4,25,12,37,None
37,None,Arlene,2:00.7,36:12.4,27,0.9,2,7,9,19,38,57,None
37,None,Kay,2:13.7,40:06.6,26,-1.5,1,3,4,9,38,47,None
38,/challenge/2012/01/,"6  500 m, 1' rest",2012,1,D,3000
38,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
38,None,NavHaz,1:36.1,9:36.8,31,None,12,None,12,40,19,59,None
38,None,Stu,1:36.2,9:36.9,35,16.0,11,10,21,88,39,127,None
38,None,DaveC,1:38.2,9:49.4,30,10.2,10,8,18,96,40,136,None
38,None,GregC,1:40.2,10:01.3,31,5.5,9,3,12,79,38,117,None
38,None,AndyB,1:40.9,10:05.5,29,10.3,8,9,17,65,47,112,None
38,None,toddler,1:42.8,10:17.0,25,8.8,7,7,14,65,46,111,None
38,None,Hannah,1:48.2,10:49.0,29,None,6,None,6,25,13,38,None
38,None,stupe,1:48.4,10:50.6,26,6.9,5,5,10,60,31,91,None
38,None,DaveS,1:48.7,10:51.9,27,4.5,4,2,6,51,34,85,None
38,None,Adrian,1:53.1,11:18.6,26,4.3,3,1,4,28,13,41,None
38,None,Arlene,1:55.1,11:30.6,30,5.6,2,4,6,21,42,63,None
38,None,Kay,2:05.5,12:32.7,27,8.2,1,6,7,10,44,54,None
39,/challenge/2012/02/,"for Carole McNally: 5  1402 m, 2'20 rest",2012,2,D,7010
39,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
39,None,ausrwr,1:37.7,22:50.4,24,None,19,None,19,19,None,19,None
39,None,Si,1:39.1,23:09.7,27,None,18,None,18,74,8,82,None
39,None,Stu,1:42.7,23:59.6,31,-6.5,17,3,20,105,42,147,None
39,None,NavHaz,1:42.9,24:03.2,24,-6.8,16,1,17,56,20,76,None
39,None,Rocky,1:44.7,24:28.4,24,None,15,None,15,118,35,153,None
39,None,DaveC,1:44.8,24:29.6,26,-6.6,14,2,16,110,42,152,None
39,None,GregC,1:45.9,24:44.2,27,-5.7,13,5,18,92,43,135,None
39,None,AndyB,1:46.6,24:54.3,26,-5.7,12,5,17,77,52,129,None
39,None,stupe,1:47.8,25:11.2,25,0.6,11,9,20,71,40,111,None
39,None,toddler,1:48.3,25:17.9,24,-5.5,10,6,16,75,52,127,None
39,None,MattN,1:48.8,25:25.0,29,None,9,None,9,20,None,20,None
39,None,DaveS,1:53.0,26:24.6,25,-4.3,8,8,16,59,42,101,None
39,None,Hannah,1:53.3,26:28.6,28,-5.1,7,7,14,32,20,52,None
39,None,Rocket,1:53.4,26:30.2,26,None,6,None,6,39,23,62,None
39,None,Graham,1:55.2,26:54.5,None,None,5,None,5,5,None,5,None
39,None,Adrian,1:57.4,27:26.5,25,-4.3,4,8,12,32,21,53,None
39,None,Arlene,2:00.9,28:15.3,28,-5.8,3,4,7,24,46,70,None
39,None,Kay,2:10.6,30:30.5,26,-5.1,2,7,9,12,51,63,None
39,None,Jane,2:23.3,33:28.8,None,None,1,None,1,2,None,2,None
40,/challenge/2012/03/,"3  2000 m, 5' rest",2012,3,D,6000
40,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
40,None,DaveC,1:41.1,20:13.7,30,3.7,12,10,22,122,52,174,None
40,None,Stu,1:42.2,20:26.4,33,0.5,11,7,18,116,49,165,None
40,None,GregC,1:46.8,21:22.6,29,-0.9,10,4,14,102,47,149,None
40,None,stupe,1:47.2,21:27.1,26,0.6,9,8,17,80,48,128,None
40,None,Rocket,1:47.5,21:30.5,28,5.9,8,11,19,47,34,81,None
40,None,toddler,1:48.8,21:46.2,25,-0.5,7,5,12,82,57,139,None
40,None,AndyB,1:50.5,22:06.0,24,-3.9,6,1,7,83,53,136,None
40,None,DaveS,1:52.3,22:28.2,25,0.7,5,9,14,64,51,115,None
40,None,Hannah,1:53.3,22:40.5,28,0.0,4,6,10,36,26,62,None
40,None,Adrian,1:58.3,23:40.3,20,-0.9,3,4,7,35,25,60,None
40,None,Arlene,2:04.0,24:48.3,27,-3.1,2,2,4,26,48,74,None
40,None,Kay,2:11.7,26:21.3,25,-1.1,1,3,4,13,54,67,None
41,/challenge/2012/04/,"1609 m",2012,4,D,1609
41,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
41,None,DaveC,1:38.8,5:18.0,32,2.3,11,5,16,133,57,190,None
41,None,Stu,1:39.8,5:21.3,33,2.4,10,6,16,126,55,181,None
41,None,GregC,1:43.0,5:31.3,32,3.8,9,9,18,111,56,167,None
41,None,toddler,1:43.6,5:33.3,28,5.2,8,10,18,90,67,157,None
41,None,stupe,1:46.1,5:41.3,27,1.1,7,3,10,87,51,138,None
41,None,Rocket,1:46.7,5:43.3,30,0.8,6,2,8,53,36,89,None
41,None,Hannah,1:49.6,5:52.7,29,3.7,5,8,13,41,34,75,None
41,None,DaveS,1:50.1,5:54.2,29,2.2,4,4,8,68,55,123,None
41,None,AndyB,1:51.3,5:58.2,24,-0.8,3,1,4,86,54,140,None
41,None,Arlene,2:01.0,6:29.4,28,3.0,2,7,9,28,55,83,None
41,None,Kay,2:04.2,6:39.8,28,7.5,1,11,12,14,65,79,None
42,/challenge/2012/05/,"8000 m strapless",2012,5,D,8000
42,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
42,None,Stu,1:46.5,28:25.4,28,None,12,None,12,12,None,12,None
42,None,DaveC,1:46.6,28:25.9,29,None,11,None,11,11,None,11,None
42,None,Rocky,1:49.4,29:11.9,22,None,10,None,10,10,None,10,None
42,None,stupe,1:50.5,29:29.0,23,None,9,None,9,9,None,9,None
42,None,AndyB,1:50.9,29:34.4,23,None,8,None,8,8,None,8,None
42,None,GregC,1:51.8,29:49.3,25,None,7,None,7,7,None,7,None
42,None,toddler,1:54.4,30:31.3,21,None,6,None,6,6,None,6,None
42,None,Rocket,1:56.3,31:01.3,26,None,5,None,5,5,None,5,None
42,None,DaveS,1:57.7,31:23.7,23,None,4,None,4,4,None,4,None
42,None,Hannah,2:01.8,32:28.9,23,None,3,None,3,3,None,3,None
42,None,Arlene,2:18.0,36:48.4,23,None,2,None,2,2,None,2,None
42,None,Kay,2:21.4,37:43.9,26,None,1,None,1,1,None,1,None
43,/challenge/2012/06/,"4k, 2k, 1k with 3' rest",2012,6,D,7000
43,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
43,None,Si,1:40.8,23:32.0,23,None,12,None,12,12,None,12,None
43,None,Stu,1:44.4,24:21.6,28,2.1,11,3,14,23,3,26,None
43,None,DaveC,1:44.4,24:21.8,26,2.2,10,4,14,21,4,25,None
43,None,Rocky,1:44.6,24:25.4,24,4.8,9,7,16,19,7,26,None
43,None,GregC,1:48.0,25:12.8,28,3.8,8,5,13,15,5,20,None
43,None,stupe,1:52.1,26:10.3,24,-1.6,7,1,8,16,1,17,None
43,None,Rocket,1:52.2,26:11.9,27,4.1,6,6,12,11,6,17,None
43,None,toddler,1:54.6,26:44.5,23,-0.2,5,2,7,11,2,13,None
43,None,Hannah,1:56.7,27:14.1,26,5.1,4,8,12,7,8,15,None
43,None,Adrian,1:58.5,27:39.8,25,None,3,None,3,3,None,3,None
43,None,Arlene,2:10.5,30:27.8,25,7.5,2,10,12,4,10,14,None
43,None,Kay,2:14.2,31:18.8,25,7.2,1,9,10,2,9,11,None
44,/challenge/2012/07/,"6000 m",2012,7,D,6000
44,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
44,None,Stu,1:45.4,21:04.9,28,-1.0,12,5,17,35,8,43,None
44,None,Si,1:45.5,21:06.0,20,-4.7,11,3,14,23,3,26,None
44,None,DaveC,1:46.9,21:23.8,25,-2.5,10,4,14,31,8,39,None
44,None,stupe,1:47.3,21:28.0,26,4.8,9,9,18,25,10,35,None
44,None,AndyB,1:49.2,21:50.4,24,None,8,None,8,16,None,16,None
44,None,GregC,1:52.8,22:33.9,25,-4.8,7,2,9,22,7,29,None
44,None,toddler,1:53.8,22:46.2,22,0.8,6,7,13,17,9,26,None
44,None,Hannah,1:55.8,23:10.0,26,0.9,5,8,13,12,16,28,None
44,None,DaveS,2:04.4,24:53.2,22,None,4,None,4,8,None,8,None
44,None,Arlene,2:04.5,24:54.9,27,6.0,3,10,13,7,20,27,None
44,None,Adrian,2:04.7,24:56.4,19,-6.2,2,1,3,5,1,6,None
44,None,Kay,2:14.1,26:49.9,26,0.1,1,6,7,3,15,18,None
45,/challenge/2012/08/,"100, 200, 400,  800, 1500 (2' rest)",2012,8,D,3000
45,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
45,None,DaveC,1:40.0,10:00.3,30,6.9,10,7,17,41,15,56,None
45,None,Stu,1:41.5,10:09.0,35,3.9,9,3,12,44,11,55,None
45,None,toddler,1:43.9,10:23.4,31,9.9,8,9,17,25,18,43,None
45,None,GregC,1:46.6,10:39.9,27,6.2,7,6,13,29,13,42,None
45,None,Adrian,1:48.4,10:50.5,28,16.3,6,10,16,11,11,22,None
45,None,AndyB,1:49.6,10:57.6,23,-0.4,5,2,7,21,2,23,None
45,None,Hannah,1:49.9,10:59.4,30,5.9,4,5,9,16,21,37,None
45,None,stupe,1:50.2,11:01.4,28,-2.9,3,1,4,28,11,39,None
45,None,Arlene,2:00.4,12:02.9,29,4.1,2,4,6,9,24,33,None
45,None,Kay,2:05.6,12:33.8,31,8.5,1,8,9,4,23,27,None
46,/challenge/2012/09/,"900 m",2012,9,D,2012
46,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
46,None,NavHaz,1:35.0,2:51.0,25,None,12,None,12,12,None,12,None
46,None,Stu,1:35.6,2:52.0,38,5.9,11,7,18,55,18,73,None
46,None,DaveC,1:35.7,2:52.2,33,4.3,10,4,14,51,19,70,None
46,None,toddler,1:38.3,2:57.0,30,5.6,9,6,15,34,24,58,None
46,None,stupe,1:39.3,2:58.7,29,10.9,8,9,17,36,20,56,None
46,None,Adrian,1:39.8,2:59.7,31,8.6,7,8,15,18,19,37,None
46,None,GregC,1:44.0,3:07.2,31,2.6,6,3,9,35,16,51,None
46,None,Rocket,1:44.4,3:08.0,30,None,5,None,5,16,6,22,None
46,None,Hannah,1:47.9,3:14.2,29,2.0,4,1,5,20,22,42,None
46,None,DaveS,1:52.2,3:22.0,26,None,3,None,3,11,None,11,None
46,None,Arlene,1:55.9,3:28.6,31,4.5,2,5,7,11,29,40,None
46,None,Kay,2:03.2,3:41.7,30,2.4,1,2,3,5,25,30,None
47,/challenge/2012/10/,"10,000 m",2012,10,D,10000
47,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
47,None,Stu,1:46.7,35:33.5,28,-11.1,13,8,21,68,26,94,None
47,None,stupe,1:50.2,36:44.8,24,-10.9,12,9,21,48,29,77,None
47,None,AndyB,1:52.3,37:26.3,22,None,11,None,11,32,2,34,None
47,None,DaveC,1:52.4,37:28.6,24,-16.7,10,2,12,61,21,82,None
47,None,toddler,1:54.7,38:14.4,21,-16.4,9,3,12,43,27,70,None
47,None,Rocky,1:55.2,38:23.5,22,None,8,None,8,27,7,34,None
47,None,GregC,1:58.8,39:36.8,19,-14.8,7,6,13,42,22,64,None
47,None,Rocket,1:59.4,39:47.5,19,-15.0,6,5,11,22,11,33,None
47,None,Hannah,2:00.1,40:02.8,23,-12.2,5,7,12,25,29,54,None
47,None,Arlene,2:06.6,42:11.6,25,-10.7,4,10,14,15,39,54,None
47,None,DaveS,2:07.2,42:24.8,21,-15.0,3,5,8,14,5,19,None
47,None,Adrian,2:13.3,44:26.2,22,-33.5,2,1,3,20,20,40,None
47,None,Kay,2:19.3,46:26.2,27,-16.1,1,4,5,6,29,35,None
48,/challenge/2012/11/,"10  1', 1' rest",2012,11,T,600
48,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
48,None,NavHaz,1:32.1,3259,28,None,12,None,12,24,None,24,None
48,None,Stu,1:33.8,3199,38,12.9,11,3,14,79,29,108,None
48,None,DaveC,1:35.1,3155,35,17.3,10,6,16,71,27,98,None
48,None,AndyB,1:36.5,3108,31,15.8,9,5,14,41,7,48,None
48,None,toddler,1:37.2,3087,29,17.5,8,7,15,51,34,85,None
48,None,Rocket,1:38.6,3042,32,20.8,7,9,16,29,20,49,None
48,None,stupe,1:38.7,3038,30,11.5,6,2,8,54,31,85,None
48,None,GregC,1:41.1,2967,30,17.7,5,8,13,47,30,77,None
48,None,Adrian,1:44.0,2885,29,29.3,4,11,15,24,31,55,None
48,None,Hannah,1:44.6,2868,32,15.5,3,4,7,28,33,61,None
48,None,Kay,1:58.3,2536,29,21.0,2,10,12,8,39,47,None
48,None,Arlene,2:13.5,2247,22,-6.9,1,1,2,16,40,56,None
49,/challenge/2012/12/,"30 minutes",2012,12,T,1800
49,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
49,None,Stu,1:46.6,8443,28,-12.8,11,8,19,90,37,127,None
49,None,stupe,1:48.7,8278,25,-10.0,10,10,20,64,41,105,None
49,None,DaveC,1:50.1,8171,24,-15.0,9,5,14,80,32,112,None
49,None,AndyB,1:51.4,8079,22,-14.9,8,6,14,49,13,62,None
49,None,GregC,1:51.8,8052,24,-10.7,7,9,16,54,39,93,None
49,None,Rocket,1:54.2,7880,26,-15.6,6,4,10,35,24,59,None
49,None,toddler,1:59.8,7511,20,-22.6,5,1,6,56,35,91,None
49,None,Adrian,2:02.3,7361,20,-18.3,4,3,7,28,34,62,None
49,None,Hannah,2:05.0,7199,23,-20.4,3,2,5,31,35,66,None
49,None,Arlene,2:11.0,6869,24,2.5,2,11,13,18,51,69,None
49,None,Kay,2:12.0,6820,27,-13.7,1,7,8,9,46,55,None
50,/challenge/2013/01/,"8  500 m, 2' rest",2013,1,D,4000
50,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
50,None,Si,1:31.7,12:13.3,33,None,13,None,13,36,3,39,None
50,None,NavHaz,1:34.5,12:35.9,31,None,12,None,12,36,None,36,None
50,None,DaveC,1:36.0,12:47.9,31,14.1,11,5,16,91,37,128,None
50,None,Stu,1:36.5,12:51.7,37,10.1,10,3,13,100,40,140,None
50,None,Larry,1:36.6,12:52.6,33,None,9,None,9,9,None,9,None
50,None,stupe,1:39.0,13:12.1,30,9.7,8,2,10,72,43,115,None
50,None,GregC,1:40.4,13:22.9,30,11.4,7,4,11,61,43,104,None
50,None,toddler,1:43.2,13:45.7,27,16.6,6,8,14,62,43,105,None
50,None,Adrian,1:45.6,14:05.0,29,16.7,5,9,14,33,43,76,None
50,None,Hannah,1:49.8,14:38.7,28,15.2,4,6,10,35,41,76,None
50,None,DaveS,1:51.6,14:52.6,28,None,3,None,3,17,5,22,None
50,None,Arlene,1:55.0,15:20.3,30,16.0,2,7,9,20,58,78,None
50,None,Kay,2:02.5,16:20.2,30,9.5,1,1,2,10,47,57,None
51,/challenge/2013/02/,"2000 m",2013,2,D,2000
51,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
51,None,Phil,1:37.0,6:28.1,32,None,15,None,15,15,None,15,None
51,None,DaveC,1:38.4,6:33.6,32,-2.4,14,5,19,105,42,147,None
51,None,stupe,1:40.2,6:40.8,28,-1.2,13,7,20,85,50,135,None
51,None,GregC,1:40.3,6:41.3,30,0.1,12,8,20,73,51,124,None
51,None,Larry,1:41.8,6:47.2,30,-5.2,11,3,14,20,3,23,None
51,None,Stu,1:41.9,6:47.5,29,-5.4,10,2,12,110,42,152,None
51,None,toddler,1:41.9,6:47.6,26,1.3,9,10,19,71,53,124,None
51,None,MikeVB,1:42.4,6:49.6,33,None,8,None,8,8,None,8,None
51,None,Rocky,1:46.0,7:03.8,26,None,7,None,7,34,7,41,None
51,None,Rocket,1:46.5,7:06.0,28,None,6,None,6,41,24,65,None
51,None,Hannah,1:48.9,7:15.4,29,0.9,5,9,14,40,50,90,None
51,None,DaveS,1:55.6,7:42.2,26,-4.0,4,4,8,21,9,30,None
51,None,Adrian,2:00.8,8:03.0,20,-15.2,3,1,4,36,44,80,None
51,None,Kay,2:03.9,8:15.7,31,-1.4,2,6,8,12,53,65,None
51,None,MaryVB,2:20.3,9:21.0,28,None,1,None,1,1,None,1,None
52,/challenge/2013/03/,"1000 m",2013,3,D,1000
52,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
52,None,DaveC,1:34.2,3:08.3,37,4.2,12,6,18,117,48,165,None
52,None,Stu,1:36.4,3:12.8,36,5.5,11,8,19,121,50,171,None
52,None,stupe,1:36.7,3:13.4,32,3.5,10,5,15,95,55,150,None
52,None,MikeVB,1:37.7,3:15.4,37,4.7,9,7,16,17,7,24,None
52,None,toddler,1:38.8,3:17.6,30,3.1,8,4,12,79,57,136,None
52,None,GregC,1:38.9,3:17.8,33,1.4,7,1,8,80,52,132,None
52,None,AndyB,1:39.6,3:19.2,32,None,6,None,6,55,13,68,None
52,None,Rocket,1:41.0,3:22.0,29,5.5,5,8,13,46,32,78,None
52,None,Adrian,1:41.2,3:22.3,32,19.6,4,9,13,40,53,93,None
52,None,Hannah,1:47.2,3:34.3,30,1.7,3,2,5,43,52,95,None
52,None,Arlene,1:59.2,3:58.3,27,None,2,None,2,22,58,80,None
52,None,Kay,2:01.8,4:03.6,31,2.1,1,3,4,13,56,69,None
53,/challenge/,"21,097 m",2013,4,D,21097
53,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
53,None,Stu,1:49.9,1:17:15.6,25,-13.5,8,6,14,129,56,185,None
53,None,stupe,1:52.0,1:18:44.2,24,-15.3,7,5,12,102,60,162,None
53,None,DaveC,1:55.5,1:21:12.0,24,-21.3,6,2,8,123,50,173,None
53,None,toddler,1:58.4,1:23:17.7,20,-19.6,5,3,8,84,60,144,None
53,None,Hannah,2:04.5,1:27:33.5,23,-17.3,4,4,8,47,56,103,None
53,None,jvb,2:06.6,1:29:02.7,25,None,3,None,3,3,None,3,None
53,None,DaveS,2:11.8,1:32:39.1,20,None,2,None,2,23,9,32,None
53,None,Kay,2:27.9,1:43:59.9,26,-26.1,1,1,2,14,57,71,None
